review,sentiment,
"Enjoyable just to stroll along beside this sandy expanse of beach, not least for the potential breeze benefits on a humid day",positive,
"We desperately wanted to avoid the crowds and the further north we drove, the less busy it got. It was clean and water was superb but I preferred Pompano beach which was much wider and not so close to the street and car traffic.",positive,
"Really nice easy going beach, great for runs, walks, swimming & sun bathing. right beside all amenities you need.",neutral,
"This beach isn�t very deep, from the street to the water, but it was ok. The sand is a bit coarse and the beach was quite full, considering it�s smallish size, but people were respectful of one another�s space. We walked the beach for a few miles and it never got much larger or better. There are several restaurants on the beach�s edge, many were quite expensive and/or loud. It didn�t have the relaxed beach quality I prefer.",neutral,
"Don't just stay south of Sunrise Boulevard. One of the best hotels is Sun Tower, and you don't want to miss Lauderdale By the Sea!",positive,
"Fort Lauderdale: You can keep it. The beach is lacking, not very deep and certainly not very romantic. Look at great beaches around the world: this is not one of them.\nDaytona Beach is so deep and wide and walkable. Myrtle Beach the same. And the beaches in Mexico are astouding for beauty and culture. And the traffic in FTL is awful, the restraurants are overpriced and a lot of people look glum and tired.\nJust telling it as I see it.",positive,
"Fort Lauderdale: You can keep it. The beach is lacking, not very deep and certainly not very romantic. Look at great beaches around the world: this is not one of them.\nDaytona Beach is so deep and wide and walkable. Myrtle Beach the same. And the beaches in Mexico are astouding for beauty and culture. And the traffic in FTL is awful, the restraurants are overpriced and a lot of people look glum and tired.\nJust telling it as I see it.",negative,
"Saw there were going to be decent waves this weekend so brought my boards to the beach for some boogie boarding. When I parked I noticed the flags was 1 red not 2 red, 2 red means water is closed to public one red means high surf, swimming is discouraged but allowed. The life guard told me I couldn't go in the water unless if I had fins which is ridiculous fins help but are not required. Don't waste your money here. I've been boogie boarding for 20 years I follow the flags rules, Im aware of how rip currents work and am mindful.",negative,
"Ok, once again not going to start bad. Beach was narrow but nice and clean water nice, weather for February real nice. What ever charm was here packed up a long time ago. Almost killed on my bike. Too much traffic. Food yes. Big city with a beach.",negative,
It is so sad that such a nice beach is associated with utterly disgraceful locale with so few parking.,negative,
We walked along the beach for a bit. No public bathrooms to be seen. Wouldn't be able to stay very long.,neutral,
Was very disappointed because while the beaches were beautiful. There are no public facilities for changing or bathrooms at all at least on the mile or so we traveled. Unless you stay at a hotel nearby sort of stuck. Plan ahead if you go to the beach. They are beautiful just limited. Was really surprised having been to Miami Beach and south Miami Beach which does have public facilities on the public beaches.,neutral,
"I understand that this is a popular beach. But I have to review what I experienced. We were there on two pretty windy days. The surf was rough and the trash was everywhere. We saw multiple syringes in the sand. Made for walking around a bit concerning. The purple flag was out and we found tons of jellyfish beached. I'm sure this is a normally nice beach, but not on the days we were there.",neutral,
